"";"date";"confirmed";"death";"recovered";"active";"confirmed_cum";"death_cum";"recovered_cum";"active_cum"
"1";2020-01-22;0;0;0;0;0;0;0;0
"2";2020-01-23;0;0;0;0;0;0;0;0
"3";2020-01-24;0;0;0;0;0;0;0;0
"4";2020-01-25;0;0;0;0;0;0;0;0
"5";2020-01-26;0;0;0;0;0;0;0;0
"6";2020-01-27;0;0;0;0;0;0;0;0
"7";2020-01-28;0;0;0;0;0;0;0;0
"8";2020-01-29;0;0;0;0;0;0;0;0
"9";2020-01-30;0;0;0;0;0;0;0;0
"10";2020-01-31;0;0;0;0;0;0;0;0
"11";2020-02-01;0;0;0;0;0;0;0;0
"12";2020-02-02;0;0;0;0;0;0;0;0
"13";2020-02-03;0;0;0;0;0;0;0;0
"14";2020-02-04;0;0;0;0;0;0;0;0
"15";2020-02-05;0;0;0;0;0;0;0;0
"16";2020-02-06;0;0;0;0;0;0;0;0
"17";2020-02-07;0;0;0;0;0;0;0;0
"18";2020-02-08;0;0;0;0;0;0;0;0
"19";2020-02-09;0;0;0;0;0;0;0;0
"20";2020-02-10;0;0;0;0;0;0;0;0
"21";2020-02-11;0;0;0;0;0;0;0;0
"22";2020-02-12;0;0;0;0;0;0;0;0
"23";2020-02-13;0;0;0;0;0;0;0;0
"24";2020-02-14;0;0;0;0;0;0;0;0
"25";2020-02-15;0;0;0;0;0;0;0;0
"26";2020-02-16;0;0;0;0;0;0;0;0
"27";2020-02-17;0;0;0;0;0;0;0;0
"28";2020-02-18;0;0;0;0;0;0;0;0
"29";2020-02-19;0;0;0;0;0;0;0;0
"30";2020-02-20;0;0;0;0;0;0;0;0
"31";2020-02-21;0;0;0;0;0;0;0;0
"32";2020-02-22;0;0;0;0;0;0;0;0
"33";2020-02-23;0;0;0;0;0;0;0;0
"34";2020-02-24;0;0;0;0;0;0;0;0
"35";2020-02-25;0;0;0;0;0;0;0;0
"36";2020-02-26;0;0;0;0;0;0;0;0
"37";2020-02-27;0;0;0;0;0;0;0;0
"38";2020-02-28;0;0;0;0;0;0;0;0
"39";2020-02-29;0;0;0;0;0;0;0;0
"40";2020-03-01;0;0;0;0;0;0;0;0
"41";2020-03-02;0;0;0;0;0;0;0;0
"42";2020-03-03;1;0;0;1;1;0;0;1
"43";2020-03-04;0;0;0;0;1;0;0;1
"44";2020-03-05;3;0;0;3;4;0;0;4
"45";2020-03-06;0;0;0;0;4;0;0;4
"46";2020-03-07;0;0;0;0;4;0;0;4
"47";2020-03-08;4;0;0;4;8;0;0;8
"48";2020-03-09;0;0;0;0;8;0;0;8
"49";2020-03-10;5;0;0;5;13;0;0;13
"50";2020-03-11;10;0;0;10;23;0;0;23
"51";2020-03-12;0;0;0;0;23;0;0;23
"52";2020-03-13;20;0;0;20;43;0;0;43
"53";2020-03-14;18;0;0;18;61;0;0;61
"54";2020-03-15;13;0;0;13;74;0;0;74
"55";2020-03-16;81;0;0;81;155;0;0;155
"56";2020-03-17;46;0;0;46;201;0;0;201
"57";2020-03-18;37;0;0;37;238;0;0;238
"58";2020-03-19;0;0;0;0;238;0;0;238
"59";2020-03-20;196;0;6;190;434;0;6;428
"60";2020-03-21;103;0;0;103;537;0;6;531
"61";2020-03-22;95;1;2;92;632;1;8;623
"62";2020-03-23;114;1;0;113;746;2;8;736
"63";2020-03-24;176;0;9;167;922;2;17;903
"64";2020-03-25;220;1;5;214;1142;3;22;1117
"65";2020-03-26;164;1;0;163;1306;4;22;1280
"66";2020-03-27;304;1;21;282;1610;5;43;1562
"67";2020-03-28;299;1;18;280;1909;6;61;1842
"68";2020-03-29;230;1;14;215;2139;7;75;2057
"69";2020-03-30;310;1;81;228;2449;8;156;2285
"70";2020-03-31;289;4;0;285;2738;12;156;2570
"71";2020-04-01;293;4;78;211;3031;16;234;2781
"72";2020-04-02;373;2;101;270;3404;18;335;3051
"73";2020-04-03;333;4;92;237;3737;22;427;3288
"74";2020-04-04;424;5;101;318;4161;27;528;3606
"75";2020-04-05;310;7;90;213;4471;34;618;3819
"76";2020-04-06;344;3;110;231;4815;37;728;4050
"77";2020-04-07;301;6;170;125;5116;43;898;4175
"78";2020-04-08;430;5;217;208;5546;48;1115;4383
"79";2020-04-09;426;9;159;258;5972;57;1274;4641
"80";2020-04-10;529;8;297;224;6501;65;1571;4865
"81";2020-04-11;426;8;293;125;6927;73;1864;4990
"82";2020-04-12;286;7;195;84;7213;80;2059;5074
"83";2020-04-13;312;2;308;2;7525;82;2367;5076
"84";2020-04-14;392;10;279;103;7917;92;2646;5179
"85";2020-04-15;356;2;291;63;8273;94;2937;5242
"86";2020-04-16;534;11;362;161;8807;105;3299;5403
"87";2020-04-17;445;11;322;112;9252;116;3621;5515
"88";2020-04-18;478;10;414;54;9730;126;4035;5569
"89";2020-04-19;358;7;303;48;10088;133;4338;5617
"90";2020-04-20;419;6;338;75;10507;139;4676;5692
"91";2020-04-21;325;8;293;24;10832;147;4969;5716
"92";2020-04-22;464;13;417;34;11296;160;5386;5750
"93";2020-04-23;516;8;418;90;11812;168;5804;5840
"94";2020-04-24;494;6;523;-35;12306;174;6327;5805
"95";2020-04-25;552;7;419;126;12858;181;6746;5931
"96";2020-04-26;473;8;278;187;13331;189;7024;6118
"97";2020-04-27;482;9;303;170;13813;198;7327;6288
"98";2020-04-28;552;9;383;160;14365;207;7710;6448
"99";2020-04-29;520;9;347;164;14885;216;8057;6612
"100";2020-04-30;1138;11;523;604;16023;227;8580;7216
"101";2020-05-01;985;7;438;540;17008;234;9018;7756
"102";2020-05-02;1427;13;554;860;18435;247;9572;8616
"103";2020-05-03;1228;13;469;746;19663;260;10041;9362
"104";2020-05-04;980;10;374;596;20643;270;10415;9958
"105";2020-05-05;1373;5;295;1073;22016;275;10710;11031
"106";2020-05-06;1032;6;479;547;23048;281;11189;11578
"107";2020-05-07;1533;4;475;1054;24581;285;11664;12632
"108";2020-05-08;1391;9;496;886;25972;294;12160;13518
"109";2020-05-09;1247;10;507;730;27219;304;12667;14248
"110";2020-05-10;1647;8;445;1194;28866;312;13112;15442
"111";2020-05-11;1197;11;493;693;30063;323;13605;16135
"112";2020-05-12;1658;12;520;1126;31721;335;14125;17261
"113";2020-05-13;2660;11;740;1909;34381;346;14865;19170
"114";2020-05-14;2659;22;790;1847;37040;368;15655;21017
