"country";"confirmed";"death";"recovered";"active";"confirmed_cum";"death_cum";"recovered_cum";"active_cum";"long";"lat"
"Afghanistan";413;4;43;366;5639;136;691;4812;67,5845043554539;34,9409846933877
"Albania";18;0;6;12;898;31;694;173;20,1092513768019;41,0970841804437
"Algeria";189;7;100;82;6442;529;3158;2755;1,78059546285195;29,2280776120975
"Andorra";1;0;20;-19;761;49;596;116;1,56324520863985;42,5299644470215
"Angola";3;0;0;3;48;2;14;32;17,4223332066508;-10,8350022586845
"Argentina";255;24;119;112;7134;353;2385;4396;-65,4593902455716;-37,6593403637237
"Armenia";142;1;72;69;3860;49;1572;2239;45,2330424687634;40,210920621271
"Australia";30;0;37;-7;7019;98;6334;587;136,998543415789;-25,1829968212449
"Austria";61;2;101;-42;16058;626;14405;1027;13,4733656855191;47,5797318991493
"Azerbaijan";121;0;44;77;2879;35;1833;1011;46,8540956468293;40,1969166957971
"Bahamas";2;0;0;2;96;11;41;44;-76,0928457459407;24,2110943580741
"Bahrain";382;0;148;234;6198;10;2353;3835;50,5497066791241;26,0509618612436
"Bangladesh";1041;14;0;1027;18863;283;3361;15219;90,5061180392901;23,5090516557296
"Barbados";0;0;0;0;85;7;65;13;-59,5462676154243;13,1609972847833
"Belarus";947;5;457;485;26772;151;8168;18453;28,1175854228367;53,5324117832837
"Belgium";307;60;174;73;54288;8903;14111;31274;4,73210363007762;50,5906272841377
"Belize";0;0;0;0;18;2;16;0;-88,4605008638822;17,4219472004817
"Benin";12;0;0;12;339;2;83;254;2,35913849160785;9,73418797278891
"Bhutan";5;0;0;5;20;0;5;15;90,5843077087402;27,4026597976685
"Bolivia";224;10;17;197;3372;152;356;2864;-65,124395708148;-16,5572503673973
"Bosnia and Herzegovina";37;2;44;-9;2218;122;1272;824;18,1347891402571;44,0676244187028
"Botswana";0;0;0;0;24;1;17;6;24,5846756119534;-22,5234370598426
"Brazil";13028;759;1055;11214;203165;13999;79479;109687;-55,280567994864;-9,80237464027366
"Brunei";0;0;0;0;141;1;134;6;114,780337333679;4,54816980021341
"Bulgaria";31;3;32;-4;2100;99;531;1470;24,9640957070463;42,6248570447528
"Burkina Faso";0;0;0;0;773;51;592;130;-1,59355680218843;11,9982512754553
"Burundi";0;0;0;0;15;1;7;7;29,9962426454593;-3,05410531545297
"Cambodia";0;0;0;0;122;0;121;1;105,11778784014;12,5971542591423
"Cameroon";154;3;10;141;2954;139;1553;1262;13,0138730539594;6,2606792647498
"Canada";1213;167;927;119;74781;5592;36104;33085;-89,7561759006016;65,2931221012915
"Central African Republic";0;0;0;0;143;0;10;133;20,0807759202557;6,40133903497531
"Chad";27;4;5;18;399;46;83;270;18,9780794255103;12,7903988320393
"Chile";2659;22;790;1847;37040;368;15655;21017;-72,3106027490952;-44,840644915344
"China";5;0;15;-10;84029;4637;79261;131;106,847574829439;35,082435437586
"Colombia";680;16;225;439;13610;525;3358;9727;-72,7628686209934;3,47110479441658
"Comoros";0;0;3;-3;11;1;3;7;43,859056854248;-12,0028432573591
"Costa Rica";15;0;8;7;830;8;535;287;-84,0399375284525;9,75601683881946
"Croatia";8;0;16;-8;2221;94;1850;277;16,3487858568283;44,6420402118866
"Cuba";20;0;57;-37;1830;79;1383;368;-79,3290844776591;21,755763526041
"Cyprus";2;0;32;-30;907;17;481;409;33,3503076934814;35,063839263916
"Denmark";46;4;142;-100;10911;537;9003;1371;10,731254580837;55,7047330613104
"Djibouti";16;0;5;11;1284;3;905;376;42,6347707339696;11,7522957835879
"Dominica";0;0;0;0;16;0;15;1;-61,3611999511719;15,4371829032898
"Dominican Republic";124;13;130;-19;11320;422;3351;7547;-70,5055794715881;18,8251788105283
"Ecuador";16;4;0;12;30502;2338;3433;24731;-81,6244059625895;-1,64306724073247
"Egypt";398;15;140;243;10829;571;2626;7632;30,7931735977354;27,6763009761162
"El Salvador";75;3;31;41;1112;23;405;684;-88,8160292135703;13,850656393412
"Equatorial Guinea";61;1;0;60;583;7;13;563;9,69903218568261;2,07666816551294
"Eritrea";0;0;0;0;39;0;38;1;39,3710943261782;15,2025812913974
"Estonia";7;1;132;-126;1758;62;909;787;24,5947561215132;58,5349385775053
"Ethiopia";9;0;0;9;272;5;108;159;38,9589723245987;9,18770695127399
"Fiji";0;0;0;0;18;0;14;4;79,5008270035076;-17,6712243762356
"Finland";91;3;0;88;6145;287;4300;1558;24,4302235083906;63,9511946496112
"France";810;351;933;-474;178994;27428;59719;91847;3,22697920310042;46,166861050188
"Gabon";100;1;30;69;1104;10;182;912;11,62220795832;-0,862762689700426
"Gambia";0;0;0;0;23;1;10;12;-15,5084191152494;13,4292253468135
"Georgia";20;1;11;8;667;12;383;272;43,8700507559427;42,0642349429247
"Germany";380;23;1600;-1243;174478;7884;150300;16294;10,4011560552557;51,2046085478554
"Ghana";122;0;160;-38;5530;24;674;4832;-1,05899270214698;8,32127239956834
"Greece";10;1;0;9;2770;156;1374;1240;23,9405368813198;38,3587526711973
"Grenada";0;0;1;-1;21;0;14;7;-61,7031682332357;12,0985622406006
"Guatemala";176;0;8;168;1518;29;129;1360;-90,199922909944;15,5853281518687
"Guinea";99;1;39;59;2473;15;895;1563;-10,7177532390616;10,1163040988747
"Guinea-Bissau";77;0;0;77;913;3;26;884;-15,3924306623397;11,6711434764247
